word,similarity
智能,0.6920875310897827
网络,0.6676251888275146
软件,0.6642699837684631
手机,0.6601384282112122
游戏,0.6528510451316833
视频,0.6462400555610657
平台,0.6459962129592896
功能,0.64219731092453
设备,0.6383360624313354
识别,0.6370631456375122
学习,0.6370311975479126
搜索,0.6362001299858093
汽车,0.6356363892555237
机器人,0.6353200078010559
用户,0.6349987387657166
计算机,0.634757399559021
全球,0.6325553059577942
电子,0.6308556199073792
机械,0.629504382610321
研究,0.6285355091094971
电影,0.6283612847328186
计算,0.6280561089515686
设计,0.6275325417518616
快速,0.6270599365234375
操作,0.6270116567611694
互联网,0.6269499659538269
物流,0.6262061595916748
交流,0.6261630654335022
电脑,0.6258634328842163
数字,0.6249536275863647
医疗,0.6247658133506775
技能,0.6239237785339355
机器,0.6231809854507446
定位,0.6226656436920166
培训,0.6210524439811707
娱乐,0.620802640914917
工具,0.6202374696731567
系列,0.6199163198471069
大数据,0.6196645498275757
模型,0.6189082264900208
教育,0.6181323528289795
区块链,0.6174680590629578
考试,0.6171908378601074
旅游,0.6171485781669617
品牌,0.6164150238037109
智慧,0.6161659359931946
程序,0.6141411066055298
空间,0.6140903234481812
测试,0.6134278774261475
专家,0.6132917404174805
银行,0.6131706833839417
申请,0.6130770444869995
沟通,0.6130121946334839
交易,0.6125896573066711
论坛,0.6125401258468628
媒体,0.6124849915504456
内部,0.6121982932090759
标准,0.6117463111877441
理论,0.6115304827690125
音乐,0.6111975312232971
保护,0.6111360788345337
策略,0.6106144785881042
学校,0.6101152300834656
艺术,0.6100389957427979
导航,0.6098918318748474
英语,0.609673023223877
规范,0.6094037890434265
编程,0.6092905402183533
互动,0.6092855334281921
同步,0.6091968417167664
营销,0.6086937189102173
流程,0.6080245971679688
机构,0.6077955365180969
连接,0.6077311635017395
体验,0.6073952913284302
文件,0.6071738600730896
虚拟,0.6071406006813049
检测,0.6069310307502747
语音,0.6067060232162476
实践,0.6066921949386597
芯片,0.6065170168876648
知识,0.606328547000885
阅读,0.6060128808021545
思考,0.6060066819190979
选择,0.605887770652771
美国,0.6058382391929626
预测,0.6056786775588989
事件,0.6050941944122314
密码,0.6046561598777771
探索,0.6044976115226746
相机,0.6042758226394653
主题,0.603797435760498
模拟,0.6037947535514832
自动,0.6035863757133484
区域,0.6033996343612671
商业,0.6031822562217712
新闻,0.6027467250823975
员工,0.6026026606559753
记录,0.6025888919830322
思维,0.6019869446754456
制作,0.6019325852394104
调查,0.6017459034919739
高级,0.6016228795051575
微信,0.6015831232070923
科学,0.6014531850814819
改善,0.6012765169143677
网上,0.6011791229248047
语言,0.6010923385620117
统计,0.601004958152771
现场,0.6005212068557739
宣传,0.6003297567367554
修改,0.6002836227416992
团队,0.6002822518348694
高端,0.6002179980278015
实验,0.5996332764625549
算法,0.5995594263076782
通讯,0.5994953513145447
集团,0.5993295907974243
经验,0.5991045236587524
显示,0.5987841486930847
中文,0.5986706018447876
电商,0.5986137986183167
创意,0.5983813405036926
规划,0.598167896270752
地图,0.5980129837989807
硬件,0.5979359149932861
广告,0.5979233980178833
摄影,0.5978201627731323
社区,0.5976875424385071
免费,0.5973358750343323
输入,0.5971918702125549
家庭,0.5969955921173096
动作,0.596889078617096
下载,0.5964159369468689
在线,0.5963111519813538
特色,0.5962910056114197
能量,0.5962874293327332
生态,0.5958259105682373
组合,0.5956279039382935
直播,0.5955989360809326
环保,0.5953275561332703
实体,0.5952614545822144
外部,0.595128059387207
安防,0.5950031876564026
记忆,0.5945992469787598
卫星,0.5945042371749878
商品,0.5944903492927551
推广,0.5944632887840271
电话,0.5944337248802185
深度,0.5942514538764954
历史,0.5942001938819885
官方,0.5941985845565796
电视,0.5938888192176819
角色,0.5938156843185425
内容,0.5935758948326111
驾驶,0.5935115218162537
工业,0.5934402942657471
加密,0.593212902545929
官网,0.5930193662643433
资料,0.5927670001983643
攻击,0.5925899744033813
苹果,0.5923135280609131
包装,0.5922866463661194
玻璃,0.5921069383621216
基因,0.592097282409668
小型,0.591863751411438
交通,0.5918527245521545
表达,0.5917121767997742
移民,0.5916092395782471
人类,0.5915852785110474
分享,0.5913758873939514
精准,0.5913029909133911
支付,0.5913002490997314
感觉,0.5912770628929138
观察,0.5912265181541443
彩票,0.5910270810127258
教学,0.5909020900726318
通信,0.5908746719360352
改变,0.5908465385437012
状态,0.5904772281646729
平板,0.5904028415679932
安装,0.590385913848877
股票,0.590269923210144
课程,0.589634895324707
思想,0.5894221067428589
创造,0.5892524719238281
协议,0.5891898274421692
技巧,0.5891274213790894
动漫,0.5891223549842834
判断,0.5889682173728943
健康,0.5888650417327881
规则,0.5888622999191284
作品,0.5887517333030701
物理,0.5887439250946045
儿童,0.5887318849563599
传统,0.5885417461395264
监管,0.5883456468582153
商标,0.5882867574691772
无人机,0.5881351828575134
展示,0.5881131291389465
现实,0.588071882724762
比赛,0.5880545973777771
GPS,0.5880047082901001
回收,0.5877891778945923
自动化,0.5877050161361694
理财,0.5876883268356323
电池,0.5876247882843018
